Team	General Manager	Date of hire	Active	URL
Milwaukee Bucks	Dave Babcock	2005		http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Bucks&PlayerMovementChkBx=yes&BeginDate=2005-6-3&submit=Search
Los Angeles Clippers	Pete Babcock	1984		http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Clippers&PlayerMovementChkBx=yes&BeginDate=1984-3-22&EndDate=1984-7-6&submit=Search
Los Angeles Clippers	Elgin Baylor	1986		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Clippers&PlayerMovementChkBx=yes&BeginDate=1986-4-1&EndDate=2008-10-7&submit=Search
Indiana Pacers	Larry  Bird	2003		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Pacers&PlayerMovementChkBx=yes&BeginDate=2003-7-11&EndDate=2012-6-26&submit=Search
Cleveland Cavaliers	Michael Blackstone	2010		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Cavaliers&PlayerMovementChkBx=yes&BeginDate=2010-9-24&submit=Search
Phoenix Suns	Lance Blanks	2010		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Suns&PlayerMovementChkBx=yes&BeginDate=2010-8-5&EndDate=2013-04-22&submit=Search
Denver Nuggets	Vince Boryla	1984		http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Nuggets&PlayerMovementChkBx=yes&BeginDate=1984-5-7&EndDate=1987-10-27&submit=Search
Charlotte Hornets	Allan Bristow	2004		http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Hornets&PlayerMovementChkBx=yes&BeginDate=2004-6-17&EndDate=2005-10-1&submit=Search
Indiana Pacers	Chad Buchanan	2017		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Pacers&PlayerMovementChkBx=yes&BeginDate=2017-7-1&EndDate=3000-1-1&submit=Search
Atlanta Hawks	Mike Budenholzer	2015		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Hawks&PlayerMovementChkBx=yes&BeginDate=2015-6-18&EndDate=2017-5-5&submit=Search
Utah Jazz	Dave Checketts	1987		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Jazz&PlayerMovementChkBx=yes&BeginDate=1987-6-15&EndDate=1989-6-1&submit=Search
Philadelphia 76ers	Tony DiLeo	2012		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=76ers&PlayerMovementChkBx=yes&BeginDate=2012-9-21&EndDate=2013-5-11&submit=Search
New York Knicks	Eddie Donovan	1965		http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Knicks&PlayerMovementChkBx=yes&BeginDate=1965-1-3&EndDate=1970-3-9&submit=Search
Golden State Warriors	Bob Myers	2012	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Warriors&PlayerMovementChkBx=yes&BeginDate=2016-9-20&End%20Date=3000-1-1&submit=Search
New York Knicks	Steve Mills	2013	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Knicks&PlayerMovementChkBx=yes&BeginDate=2014-3-18&EndDate=3000-1-1&submit=Search
Philadelphia 76ers	Bryan Colangelo	2016	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Raptors&PlayerMovementChkBx=yes&BeginDate=2006-2-28&EndDate=2013-6-26&submit=Search
Phoenix Suns	Ryan McDonough	2013	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Suns&PlayerMovementChkBx=yes&BeginDate=2015-6-10&EndDate=3000-1-1&submit=Search
Portland Trail Blazers	Neil Olshey	2010	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Blazers&PlayerMovementChkBx=yes&BeginDate=2012-6-1&submit=Search
